row_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
1,Resort Hotel,0,342,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,,0,Transient,0,0,0,Check-Out,01-07-15,Ernest Barnes,Ernest.Barnes31@outlook.com,669-792-1661,************4322
2,Resort Hotel,0,737,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,,0,Transient,0,0,0,Check-Out,01-07-15,Andrea Baker,Andrea_Baker94@aol.com,858-637-6955,************9157
3,Resort Hotel,0,7,2015,July,27,1,0,1,1,0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,,0,Transient,75,0,0,Check-Out,02-07-15,Rebecca Parker,Rebecca_Parker@comcast.net,652-885-2745,************3734
4,Resort Hotel,0,13,2015,July,27,1,0,1,1,0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304,0,Transient,75,0,0,Check-Out,02-07-15,Laura Murray,Laura_M@gmail.com,364-656-8427,************5677
5,Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,98,0,1,Check-Out,03-07-15,Linda Hines,LHines@verizon.com,713-226-5883,************5498
6,Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,98,0,1,Check-Out,03-07-15,Jasmine Fletcher,JFletcher43@xfinity.com,190-271-6743,************9263
7,Resort Hotel,0,0,2015,July,27,1,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,,0,Transient,107,0,0,Check-Out,03-07-15,Dylan Rangel,Rangel.Dylan@comcast.net,420-332-5209,************6994
8,Resort Hotel,0,9,2015,July,27,1,0,2,2,0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303,0,Transient,103,0,1,Check-Out,03-07-15,William Velez,Velez_William@mail.com,286-669-4333,************8729
9,Resort Hotel,1,85,2015,July,27,1,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,82,0,1,Canceled,06-05-15,Steven Murphy,Steven.Murphy54@aol.com,341-726-5787,************3639
10,Resort Hotel,1,75,2015,July,27,1,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,0,Transient,105.5,0,0,Canceled,22-04-15,Michael Moore,MichaelMoore81@outlook.com,316-648-6176,************9190
11,Resort Hotel,1,23,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,123,0,0,Canceled,23-06-15,Priscilla Collins PhD,PhD.Priscilla74@att.com,833-887-7898,************4642
12,Resort Hotel,0,35,2015,July,27,1,0,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,145,0,0,Check-Out,05-07-15,Laurie Smith,Smith.Laurie@att.com,804-383-4080,************5450
